#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_165_163  -7.41  -5.49  0.68  -9.39  1.42  -2.86  1.62  -7.44  0.79  -6.57  0.29  -5.23  0.54
edge_41_7b  10.00  13.95  2.25  10.40  2.45  10.64  3.77  12.18  1.66  19.33  0.71  13.14  1.05
edge_7b_42  -6.49  -8.45  1.04  -5.96  2.48  -11.69  0.63  -7.21  1.35   nan   nan   nan   nan
edge_7b_231  -11.00  -15.50  2.60  -18.05  2.92  -15.77  0.81  -16.78  1.96  -23.60  0.59  -21.88  0.46
edge_54_251  -3.89  0.51  1.23  -11.65  2.07  -9.69  0.66  -5.57  1.20  -5.31  1.05  -5.15  0.63
edge_54_124  -3.39  -11.97  2.47  -11.03  0.90  -12.28  1.79  -11.50  1.31  -3.22  0.59  -6.74  0.38
edge_215_252  3.72  2.76  1.32  -9.51  2.03  5.50  1.38  -3.37  1.21  0.75  0.67  0.88  0.50
edge_215_15  -1.88  -3.31  1.33  16.43  1.80  -3.70  0.93  6.56  1.12  -2.89  0.21  -3.56  0.17
edge_215_163  -1.72  6.16  1.10  -1.87  0.95  5.73  0.80  2.14  0.73  0.29  0.25  -0.04  0.21
edge_57_231  2.72  13.09  1.17  10.34  1.29  17.79  0.47  11.71  0.87  1.42  0.21  1.80  0.17
edge_42_164  9.08  17.60  2.53  -6.91  2.94  8.99  1.34  5.34  1.94  12.05  1.00  11.80  0.59
edge_35_7a  -11.88  5.16  1.18  5.37  1.17  6.66  1.23  5.26  0.83  11.55  0.29  12.26  0.25
edge_35_84  -1.76  11.21  1.22  37.66  1.37  10.13  2.29  24.44  0.92   nan   nan   nan   nan
edge_252_336  -0.46  2.89  0.47  0.79  1.18  -2.23  0.72  1.84  0.63  -3.22  0.17  -3.22  0.13
edge_252_290  -3.56  -9.08  3.42  9.54  1.88  -13.25  2.48  0.23  1.95   nan   nan   nan   nan
edge_252_155  -3.31  -4.13  0.67  12.40  1.37  -1.25  1.69  4.14  0.76  -1.13  0.38  0.04  0.38
edge_252_231  -1.30  -3.08  0.59  5.96  1.57  -1.93  0.85  1.44  0.84  -0.21  0.42  -1.26  0.29
edge_252_124  -1.72  -21.76  6.35  -7.38  2.37  -9.09  3.21  -14.57  3.39  -0.59  0.67  -4.27  0.54
edge_336_251  -1.76  -6.18  2.52  -8.48  1.61  -4.74  2.75  -7.33  1.50  6.69  0.88  3.93  1.13
edge_290_7a  2.38  1.88  1.87  8.69  3.46  15.01  3.05  5.28  1.97  13.10  0.67  11.09  0.50
edge_290_84  12.51  12.66  2.25  41.12  1.76  18.53  2.01  26.89  1.43   nan   nan   nan   nan
edge_290_23  14.64  7.73  2.22  14.32  2.46  14.27  1.87  11.02  1.66  14.06  0.71  13.43  0.54
edge_290_256  -0.46  13.29  4.09  -17.24  0.65  16.41  2.32  -1.98  2.07   nan   nan   nan   nan
edge_155_84  12.26  6.09  1.54  19.32  1.06  6.64  0.56  12.71  0.94  7.70  0.59  5.98  0.38
edge_164_124  -14.06  -21.52  5.14  -34.54  1.87  -19.81  1.46  -28.03  2.74  -8.58  0.71  -10.00  0.67
edge_164_25  -14.73  -17.52  1.86  -2.84  1.25  -15.12  0.92  -10.18  1.12  -13.89  0.59  -11.80  0.54
edge_164_163  -17.78  -14.30  1.22  -14.95  2.43  -9.52  2.67  -14.62  1.36   nan   nan   nan   nan
edge_7a_224  1.42  4.46  1.68  -7.56  3.52  2.25  2.21  -1.55  1.95  -7.24  0.75  -9.12  0.38
edge_7a_23  12.26  0.17  1.67  14.12  0.61  -0.65  0.71  7.14  0.89  0.63  0.29  1.46  0.25
edge_224_231  -1.51  4.19  1.73  -4.91  2.85  9.05  4.42  -0.36  1.67  -0.54  0.79  0.25  0.42
edge_84_15  -14.52  -12.15  1.32  -29.92  0.74  -14.66  1.72  -21.04  0.76  -11.84  0.84  -11.30  0.46
edge_254_251  -2.89  -1.97  2.19  -9.93  1.11  0.93  2.65  -5.95  1.23  1.97  0.17  2.09  0.08
edge_254_50  -0.63  2.47  0.58  9.95  2.15  6.60  1.47  6.21  1.11  7.99  0.50  6.53  0.33
edge_23_15  -16.65  -8.71  1.20  -8.54  0.70  -7.29  2.38  -8.62  0.70  -14.56  0.38  -14.27  0.25
edge_251_15  -3.35  -10.25  0.90  23.23  2.49  -6.37  1.02  6.49  1.32  -7.24  0.25  -6.74  0.21
edge_251_25  -0.17  -8.50  0.99  26.07  1.35  -0.11  0.69  8.79  0.84  4.23  0.42  4.35  0.33
edge_15_25  3.18  3.30  0.26  3.54  0.30  3.10  0.69  3.42  0.20  9.62  0.25  9.04  0.17
