#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_CHEMBL3402761_1_CHEMBL3402754_40  9.16  6.16  1.15  5.72  1.05  13.12  1.61  5.94  0.78  10.46  0.71  11.13  0.50
edge_CHEMBL3402761_1_CHEMBL3402760_1  0.00  -3.32  0.69  -5.06  1.14  0.13  0.66  -4.19  0.67  0.42  0.96  1.55  0.79
edge_CHEMBL3402761_1_CHEMBL3402762_1  0.00  -5.76  2.08  -7.77  0.66  -3.84  1.89  -6.77  1.09  -3.60  1.09  -3.05  0.79
edge_CHEMBL3402750_400_CHEMBL3402749_500  0.54  5.17  0.37  3.14  0.42  5.04  0.36  4.15  0.28  7.03  0.38  6.61  0.21
edge_CHEMBL3402750_400_CHEMBL3402748_5300  6.40  6.31  0.42  5.51  0.52  105.86  15.51  5.91  0.34  7.24  0.54  8.24  0.29
edge_CHEMBL3402750_400_CHEMBL3402751_2100  4.10  5.88  0.69  9.10  0.88  10.58  0.75  7.49  0.56  8.41  0.25  9.87  0.17
edge_CHEMBL3402743_42_CHEMBL3402758_10  -3.56  -15.74  5.51  -16.94  4.03  -4.97  3.41  -16.34  3.41  -19.29  2.55  -14.14  2.43
edge_CHEMBL3402743_42_CHEMBL3402762_1  -9.25  -32.21  7.54  -15.65  6.41  -16.89  4.41  -23.93  4.95  -24.77  3.05  -19.37  2.97
edge_CHEMBL3402743_42_CHEMBL3402760_1  -9.25  -21.97  2.56  -17.55  7.03  -12.24  2.32  -19.76  3.74  -17.74  1.92  -17.32  3.43
edge_CHEMBL3402743_42_CHEMBL3402742_23  -1.51  -4.55  0.72  0.37  2.61  -0.60  0.69  -2.09  1.35  -6.69  0.75  -7.15  0.46
edge_CHEMBL3402743_42_CHEMBL3402764_90  1.88  9.11  0.83  7.86  0.75  11.42  1.06  8.48  0.56  2.01  0.25  2.13  0.25
edge_CHEMBL3402743_42_CHEMBL3402763_90  1.88  0.06  1.54  -6.61  2.47  -3.90  1.34  -3.28  1.46  -4.60  0.79  -6.07  0.54
edge_CHEMBL3402743_42_CHEMBL3402756_2.7  -6.82  -18.23  2.98  -15.74  7.56  -8.87  3.02  -16.99  4.07  -9.83  3.01  -9.71  1.80
edge_CHEMBL3402752_30000_CHEMBL3402754_40  -16.40  -21.37  0.69  -13.12  1.99  -19.18  0.85  -17.25  1.05  -15.27  0.46  -15.56  0.29
edge_CHEMBL3402752_30000_CHEMBL3402751_2100  -6.61  -6.50  0.20  -4.64  0.24  -2.55  0.41  -5.57  0.16  -3.93  0.33  -4.48  0.17
edge_CHEMBL3402755_4200_CHEMBL3402754_40  -11.55  -10.57  0.44  -3.87  0.48  -7.57  0.54  -7.22  0.32  -4.60  0.29  -5.65  0.17
edge_CHEMBL3402758_10_CHEMBL3402742_23  2.05  15.91  5.50  0.07  4.27  9.72  4.27  7.99  3.48  7.78  1.84  4.39  4.23
edge_CHEMBL3402758_10_CHEMBL3402760_1  -5.69  -2.91  0.77  2.11  1.12  -5.91  0.77  -0.40  0.68  -2.51  0.42  -0.17  0.46
edge_CHEMBL3402758_10_CHEMBL3402756_2.7  -3.26  1.84  0.92  -3.63  0.84  1.03  0.96  -0.89  0.62  0.88  0.42  3.56  0.67
edge_CHEMBL3402749_500_CHEMBL3402748_5300  5.86  2.20  0.94  2.83  0.46  112.01  9.21  2.51  0.52  0.08  0.38  0.96  0.17
edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7  -2.18  -2.33  0.53  -6.86  1.77  -3.36  0.62  -4.60  0.93  1.21  0.54  0.42  0.33
edge_CHEMBL3402762_1_CHEMBL3402760_1  0.00  4.08  1.34  4.89  2.41  4.54  0.73  4.49  1.38  6.36  0.42  5.82  0.25
edge_CHEMBL3402742_23_CHEMBL3402763_90  3.39  4.52  0.83  8.19  1.13  0.16  1.13  6.35  0.70  -0.42  0.38  -0.75  0.25
edge_CHEMBL3402742_23_CHEMBL3402756_2.7  -5.31  -15.23  3.73  3.84  5.35  -15.56  6.61  -5.69  3.26  -11.72  1.55  -6.99  3.35
edge_CHEMBL3402748_5300_CHEMBL3402751_2100  -2.30  -8.60  1.33  -0.38  0.38  -119.56  11.32  -4.49  0.69  0.71  0.54  0.29  0.38
edge_CHEMBL3402741_400_CHEMBL3402763_90  -3.68  1.15  2.09  3.51  3.45  3.25  2.82  2.33  2.02  -1.13  0.42  -2.26  0.42
edge_CHEMBL3402741_400_CHEMBL3402756_2.7  -12.38  28.05  5.71  21.34  4.61  43.38  6.96  24.69  3.67  -5.82  1.09  -3.60  0.75
edge_CHEMBL3402741_400_CHEMBL3402764_90  -3.68  1.29  2.26  7.92  3.05  19.91  0.96  4.61  1.90  4.48  1.09  1.30  0.79
edge_CHEMBL3402763_90_CHEMBL3402764_90  0.00  5.65  1.13  2.24  1.54  12.34  1.05  3.94  0.96  9.50  0.79  8.58  0.67
