#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_24_34  -4.60  -3.91  1.18  1.85  1.17  -9.15  1.38  -1.03  0.83  -3.31  0.54  -3.01  0.46
edge_67_56  -1.34  -4.85  1.69  -9.93  1.20  4.38  0.86  -7.39  1.04  -4.90  0.50  -4.69  0.38
edge_67_57  -0.96  3.91  1.21  -4.68  2.17  6.40  1.43  -0.39  1.24  -2.93  0.50  -2.22  0.33
edge_67_64  3.43  8.95  2.10  6.26  1.69  11.80  0.70  7.61  1.35  5.48  0.67  5.27  0.46
edge_62_53  2.89  0.27  2.00  -9.05  2.36  1.87  2.83  -4.39  1.55   nan   nan  -8.16  0.29
edge_62_70  -10.92  -8.76  1.01  -22.01  1.40  -10.68  0.87  -15.38  0.86  -18.95  0.17  -18.91  0.13
edge_62_31  -6.65  -1.02  1.09  -22.98  0.72  3.96  1.41  -12.00  0.65  -17.61  0.84  -16.15  0.67
edge_56_69  -0.63  1.07  2.48  -1.39  0.46  -2.66  1.51  -0.16  1.26  1.17  0.38  1.00  0.29
edge_59_35  -8.45  -8.41  0.82  -15.44  1.47  0.27  0.75  -11.92  0.84  -17.28  0.46  -14.90  0.38
edge_59_52  -9.54  -4.50  1.96  -5.66  1.17  2.84  1.84  -5.08  1.14  -10.08  0.59  -9.16  0.46
edge_59_47  -0.92  6.45  4.36  0.02  1.76  14.45  1.65  3.23  2.35  3.56  0.42  2.13  0.25
edge_38_26  -1.72  8.15  2.22  -11.94  1.86  16.54  2.75  -1.89  1.45  -7.74  0.54  -9.25  0.38
edge_38_41  5.73  -0.82  1.20  -2.47  0.84  -0.31  1.51  -1.65  0.73  -2.05  0.33  -0.67  0.25
edge_38_39  6.53  8.50  0.86  3.31  1.56  9.46  0.65  5.90  0.89  8.24  0.63  5.36  0.46
edge_31_19  7.24  10.61  2.15  1.83  1.97  6.89  5.56  6.22  1.46  12.05  0.54  8.66  0.42
edge_48_47  -1.38  5.72  1.86  -1.53  1.02  5.67  1.05  2.10  1.06  3.47  0.25  3.47  0.21
edge_48_20  -2.13  -9.81  1.96  -2.70  2.86  -2.90  1.71  -6.26  1.73  -2.80  0.38  -2.05  0.25
edge_58_68  -2.72  -1.02  1.58  -10.64  6.40  -8.23  0.84  -5.83  3.30  -12.13  0.42  -12.13  0.38
edge_58_60  4.14  7.65  1.20  -4.32  1.25  4.38  0.56  1.66  0.87  1.42  0.63  3.35  0.50
edge_58_63  2.38  2.68  0.59  1.86  0.70  5.61  0.40  2.27  0.46  1.88  0.17  0.96  0.17
edge_41_44  -10.71  5.77  0.77  -2.70  2.18  5.93  1.55  1.54  1.16  -0.54  0.29  -2.59  0.33
edge_29_54  6.15  4.83  1.87  4.02  1.05  3.43  0.64  4.42  1.08  10.17  0.54  8.20  0.46
edge_29_63  4.52  1.87  2.01  13.30  0.75  -4.01  0.97  7.59  1.07  9.08  0.59  8.24  0.54
edge_29_70  -2.76  -6.81  0.58  -1.07  0.79  -15.27  1.29  -3.94  0.49  -5.15  0.46  -3.47  0.33
edge_29_23  7.24  7.33  0.79  1.56  2.72  9.50  1.78  4.45  1.42  4.35  0.50  7.03  0.71
edge_54_36  3.10  9.52  8.13  0.77  2.33  2.51  2.22  5.14  4.23  -4.14  0.84  0.46  0.63
edge_54_70  -8.87  -8.12  1.69  -7.81  2.01  -17.22  1.70  -7.96  1.31  -12.05  0.38  -11.17  0.29
edge_47_46  1.97  -2.47  0.74  -3.25  0.40  0.03  1.53  -2.86  0.42  -0.71  0.29  -0.17  0.17
edge_47_20  -0.75  -10.22  1.71  -1.03  1.71  -18.03  0.84  -5.63  1.21  -5.23  0.50  -3.22  0.33
edge_26_69  -6.49  -10.05  2.02  -8.01  1.85  -18.67  1.77  -9.03  1.37  -9.00  0.67  -9.87  0.50
edge_26_70  -4.73  -11.27  3.52  -4.33  2.99  -22.06  0.80  -7.80  2.31  -5.69  0.75  -4.90  0.42
edge_55_63  8.66  13.83  0.77  19.00  1.76  5.22  2.45  16.42  0.96  19.33  0.42  17.03  0.33
edge_55_23  11.38  18.57  1.06  2.01  1.54  19.26  0.69  10.29  0.94  13.39  0.54  12.64  0.54
edge_20_39  5.52  8.36  1.58  4.23  0.78  4.97  0.59  6.30  0.88  6.57  0.38  6.19  0.29
edge_20_42  0.21  -2.77  1.38  -4.42  0.85  -0.79  1.18  -3.60  0.81  -3.56  0.33  -3.47  0.17
edge_57_70  0.71  -0.96  0.57  2.81  0.30  -7.68  0.92  0.92  0.32  1.80  0.21  1.51  0.13
edge_35_69  -2.43  -1.95  0.81  -5.75  0.40  -9.06  0.78  -3.85  0.45  -3.10  0.25  -3.68  0.17
edge_44_68  0.71   nan   nan  -5.63  1.57   nan   nan  -5.63  1.57  -12.47  0.25  -11.55  0.17
edge_63_36  4.69  3.24  2.39  -9.80  2.57  3.12  1.62  -3.28  1.76  0.79  1.00  1.42  0.79
edge_69_53  15.56  9.90  1.52  17.57  0.48  16.23  1.99  13.74  0.80  15.86  0.46  14.31  0.25
edge_69_23  11.72  12.11  1.73  3.24  0.51  22.33  1.78  7.68  0.90  12.47  0.54  10.50  0.46
edge_69_60  10.75  6.47  1.39  11.91  0.84  8.91  0.65  9.19  0.81  18.07  0.84  17.91  0.71
edge_52_53  14.23  3.14  1.34  5.05  1.26  5.84  1.52  4.10  0.92  5.48  0.21  5.36  0.13
edge_52_19  11.88  14.05  1.45  -12.46  2.20  9.04  5.27  0.80  1.32  2.09  0.54  2.93  0.33
edge_52_46  10.63  12.01  2.43  1.06  1.33  9.89  1.80  6.53  1.38  12.76  0.29  12.05  0.17
edge_19_37  -10.25  -15.93  2.58  6.09  5.38  -17.46  5.53  -4.92  2.98  -16.32  0.79  -14.56  0.75
edge_19_70  -11.51  -9.86  0.79  1.97  3.49  -24.21  2.72  -3.94  1.79  -8.83  0.71  -8.54  0.63
edge_68_70  -2.22  3.11  1.15  -5.12  1.20  3.50  0.59  -1.00  0.83  3.81  0.46  2.43  0.33
edge_68_53  11.63  11.74  3.86  10.84  3.18  16.58  1.50  11.29  2.50  14.77  0.67  14.18  0.50
edge_33_23  2.89  4.34  0.71  0.49  0.44  5.01  0.98  2.42  0.42  5.82  0.42  5.77  0.25
edge_33_36  4.90  -0.48  3.84  7.07  2.75  0.47  5.50  3.30  2.36  8.62  0.92  8.03  0.54
edge_33_70  -7.11  -8.86  1.12  2.75  0.69  -15.23  0.42  -3.05  0.66  0.29  0.46  -2.05  0.29
edge_39_37  -11.72  -9.13  2.71  -18.82  3.80  -5.63  3.15  -13.98  2.33  -30.12  0.84  -27.95  0.59
