#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_CHEMBL1086409_CHEMBL1084678  -5.23  8.81  2.19  -3.32  5.89  -4.20  3.02  2.74  3.14  -18.33  0.67  -16.65  0.54
edge_CHEMBL1082248_CHEMBL1084678  2.09  2.35  3.07  9.73  5.41  8.74  3.69  6.04  3.11  -11.88  0.67  -7.49  0.63
edge_CHEMBL1082248_CHEMBL1086410  0.71  15.56  1.47  1.55  1.68  9.03  2.07  8.56  1.12  4.23  0.38  3.05  0.17
edge_CHEMBL1082248_CHEMBL1083517  0.71  -2.95  1.32  -2.21  2.54  -1.27  1.22  -2.58  1.43  -0.63  0.71  -0.21  0.42
edge_CHEMBL1082248_CHEMBL1084143  -1.00  13.73  2.35  -7.01  7.39  11.02  2.80  3.36  3.88  -10.54  0.71  -6.19  0.46
edge_CHEMBL1082248_CHEMBL1096002  2.09  -0.87  1.32  -0.45  0.68  2.62  0.99  -0.66  0.74  0.25  0.46  0.08  0.33
edge_CHEMBL1082248_CHEMBL1083836  3.22  13.24  1.52  4.75  0.51  4.85  0.79  9.00  0.80  3.68  0.29  2.59  0.17
edge_CHEMBL1084678_CHEMBL1084935  2.47  19.56  7.60  -15.63  6.81  4.01  7.05  1.97  5.10  14.23  0.75  16.28  0.63
edge_CHEMBL1084678_CHEMBL1084431  5.52  6.57  3.51  8.27  7.50  27.44  7.02  7.42  4.14  16.07  1.13  17.78  0.75
edge_CHEMBL1084678_CHEMBL1077204  0.33  -6.04  3.38  -5.54  2.39  -11.14  1.62  -5.79  2.07  5.27  1.92  8.91  1.59
edge_CHEMBL1084678_CHEMBL1084143  -3.10  1.66  4.36  -3.69  2.88  4.04  1.77  -1.01  2.61  1.97  1.17  4.85  0.96
edge_CHEMBL1084678_CHEMBL1084676  1.72  -2.31  2.75  -7.33  3.30  -4.35  1.61  -4.82  2.15  12.13  1.63  14.60  1.42
edge_CHEMBL1084678_CHEMBL1084677  -1.38  5.16  4.04  -4.85  2.11  -6.63  1.87  0.15  2.28  10.59  0.71  6.11  1.09
edge_CHEMBL1084115_CHEMBL1078998  -3.89  -0.08  0.87  -0.26  0.79  0.47  1.17  -0.17  0.59  -1.05  0.50  -2.05  0.33
edge_CHEMBL1084115_CHEMBL1088740  3.10  8.40  0.44  14.16  2.25  8.67  0.77  11.28  1.14  3.56  0.54  3.97  0.29
edge_CHEMBL1084115_CHEMBL1089056  0.00  -0.60  0.51  1.63  1.00  -0.46  0.88  0.51  0.56  1.17  0.33  1.88  0.21
edge_CHEMBL1084431_CHEMBL1083517  -6.90  -20.01  7.74  -2.70  2.57  -13.06  3.97  -11.35  4.08  -6.53  0.84  -3.39  0.84
edge_CHEMBL1084431_CHEMBL1096002  -5.52  -10.58  4.11  5.99  3.63  -4.47  9.15  -2.29  2.74  -3.39  0.92  -1.63  0.75
edge_CHEMBL1084431_CHEMBL1085666  -2.93  -9.93  3.45  0.54  4.15  -1.45  4.10  -4.70  2.70  -1.09  0.88  -3.47  0.84
edge_CHEMBL1085895_CHEMBL1078998  2.05  5.60  2.74  -5.74  1.92  5.12  2.61  -0.07  1.68  4.52  1.05  0.84  0.88
edge_CHEMBL1085895_CHEMBL1088740  9.04  11.50  2.02  14.43  2.48  17.25  1.80  12.96  1.60  8.62  0.79  9.96  0.54
edge_CHEMBL1084677_CHEMBL1083836  2.51  6.40  1.88  1.89  2.47  4.84  3.75  4.15  1.55  3.89  0.50  4.18  0.33
edge_CHEMBL1084677_CHEMBL1085692  0.54  3.12  5.38  15.54  3.44  -2.52  3.73  9.33  3.19  -5.31  0.63  -2.93  0.50
edge_CHEMBL1084677_CHEMBL1084676  3.10  -3.97  4.80  7.36  5.44  0.88  1.16  1.70  3.63  2.47  0.71  4.02  0.54
edge_CHEMBL1084677_CHEMBL1096003  -1.72  -1.06  2.23  -0.10  2.12  1.35  0.89  -0.58  1.54  -2.26  1.00  -0.71  0.71
edge_CHEMBL1077227_CHEMBL1085666  3.43  1.80  1.16  8.92  1.91  -5.46  2.79  5.36  1.12  -1.13  0.59  1.00  0.46
edge_CHEMBL1077227_CHEMBL1078998  3.97  3.80  1.22  2.49  2.33  4.25  1.58  3.15  1.31  1.63  0.42  1.63  0.33
edge_CHEMBL1077227_CHEMBL1086410  -0.54  8.99  1.55  8.23  0.81  7.34  0.81  8.61  0.87  2.34  0.25  3.22  0.17
edge_CHEMBL1077227_CHEMBL1084935  3.31  14.94  1.96  12.97  2.99  7.39  1.63  13.95  1.79  7.03  0.71  7.20  0.46
edge_CHEMBL1086410_CHEMBL1096002  1.38  -17.31  1.35  -0.22  1.74  -8.27  2.36  -8.77  1.10  -2.30  0.54  -2.64  0.46
edge_CHEMBL1086410_CHEMBL1089056  8.45  0.62  0.63  3.27  4.12  -1.22  1.56  1.94  2.08  3.47  0.38  3.51  0.29
edge_CHEMBL1086410_CHEMBL1084935  3.85  -0.37  2.01  4.01  2.20  -3.52  1.75  1.82  1.49  6.95  0.75  4.73  0.42
edge_CHEMBL1083517_CHEMBL1085666  3.97  8.25  2.09  4.39  1.65  4.32  2.35  6.32  1.33  4.81  0.79  4.56  0.75
edge_CHEMBL1096003_CHEMBL1084143  0.00  0.66  1.74  2.35  1.15  3.10  4.76  1.50  1.04  -0.92  0.59  -1.51  0.42
edge_CHEMBL1077204_CHEMBL1083836  0.79  13.79  5.47  11.95  8.24  13.56  1.89  12.87  4.94  8.54  0.54  4.23  0.46
edge_CHEMBL1077204_CHEMBL1084143  -3.43  7.67  10.47  -1.38  3.63  1.97  2.76  3.14  5.54  1.13  2.38  1.00  1.55
edge_CHEMBL1077204_CHEMBL1084676  1.38  2.33  0.97  9.91  2.79  3.79  0.64  6.12  1.48  4.73  0.67  2.13  0.54
edge_CHEMBL1083836_CHEMBL1085666  1.46  -6.34  1.65  -2.89  1.73  -6.16  2.31  -4.61  1.20  -1.00  0.67  -1.21  0.38
edge_CHEMBL1083836_CHEMBL1096002  -1.13  -8.80  1.38  -2.83  1.72  -6.66  3.07  -5.81  1.10  -2.38  0.63  -2.68  0.59
edge_CHEMBL1085692_CHEMBL1096002  0.84  -5.51  4.66  8.84  6.34  3.57  4.37  1.67  3.93  6.32  0.59  5.06  0.33
edge_CHEMBL1085692_CHEMBL1084676  2.55  2.69  2.04  7.66  2.41  1.37  1.37  5.17  1.58  11.76  1.00  11.05  1.51
edge_CHEMBL1096002_CHEMBL1084935  2.47  5.50  2.63  12.38  3.48  11.96  1.24  8.94  2.18  3.64  0.79  5.73  0.71
edge_CHEMBL1089056_CHEMBL1088740  3.10  6.23  2.21  8.67  2.41  5.98  0.31  7.45  1.63  2.01  0.25  2.13  0.13
edge_CHEMBL1089056_CHEMBL1078998  -3.89  -3.52  1.05  -8.08  3.29  -1.20  0.71  -5.80  1.73  -3.35  0.38  -4.06  0.21
edge_CHEMBL1093088_CHEMBL1088740  10.54  9.98  0.67  8.28  2.02  10.22  2.64  9.13  1.06  3.35  0.54  4.18  0.25
