#1_edge   2_exp  3_gaff2  4_gaff2_err  5_cgenff  6_cgenff_err  7_openff  8_openff_err  9_cons  10_cons_err  11_fep+_5ns  12_fep+_5ns_err  13_fep+_20ns  14_fep+_20ns_err
#all values in kJ/mol
edge_Example_1_7  7.99  4.03  3.11  12.44  3.46  3.96  4.48  8.24  2.33  -1.92  1.92  4.02  1.30
edge_Example_1_Example_4  3.31  4.50  0.89  5.78  2.29  8.44  1.86  5.14  1.23  5.23  0.50  8.16  0.33
edge_Example_1_Example_3  3.22  8.11  0.80  7.00  2.12  8.06  1.63  7.55  1.13  5.94  0.46  6.78  0.46
edge_3_Example_9  -13.93  -23.28  5.56  -9.43  1.32  -13.24  3.44  -16.35  2.86  -11.88  0.92  -12.43  0.71
edge_3_Example_3  -11.51  -11.10  3.19  3.41  3.25  -4.12  5.17  -3.85  2.28  -2.85  0.67  -5.65  0.38
edge_Example_9_Example_30  -1.51  -6.56  6.34  -7.75  1.68  -5.88  2.43  -7.16  3.28  2.30  0.75  2.43  0.50
edge_Example_8_Example_30  2.34  -4.95  1.57  -5.90  2.24  -14.95  4.79  -5.42  1.37   nan   nan  5.86  0.50
edge_Example_8_Example_4  6.32  17.37  2.08  -4.85  5.63  -1.12  2.64  6.26  3.00  12.51  0.96  12.13  0.63
 edge_7_10  -0.33  19.56  3.59  -8.29  2.21  6.66  2.40  5.64  2.11   nan   nan  5.10  1.38
edge_Example_24_Example_28  2.59  -13.35  1.97  -1.47  1.15  -6.16  4.69  -7.41  1.14  -4.10  0.88  -2.55  1.00
edge_Example_24_Example_30  -0.33  -29.11  5.40  -0.25  5.97  -21.51  1.68  -14.68  4.02   nan   nan  -3.51  0.59
edge_Example_24_Example_23  1.42  -10.96  1.77  -9.23  0.50  -0.66  0.58  -10.10  0.92  -2.51  0.54  0.13  0.42
edge_Example_28_6  1.80  -6.22  3.57  3.38  5.16  -6.14  3.46  -1.42  3.14  -1.59  0.63  -6.57  0.71
edge_10_Example_30  -8.37  -16.07  0.91  0.60  2.44  -13.91  1.59  -7.73  1.30  -7.49  0.54  -7.41  0.59
edge_Example_25_Example_3  2.72  -27.08  3.37  0.79  5.07  -20.58  7.83  -13.14  3.04  0.33  0.71  -0.04  0.75
edge_Example_27_Example_4  1.34  -1.26  4.63  3.67  3.30  7.40  3.20  1.20  2.84  7.20  0.63  7.24  0.59
edge_Example_4_Example_3  -0.04  2.16  0.91  -1.35  0.95  -1.54  0.62  0.40  0.66  -0.84  0.38  -2.47  0.29
